Location (Kuala Lumpur),Rooms,Bathrooms,Car Parks,Property Type,Furnishing,Property Details,Size Type,Size Number (sq. ft.),Price Range
setapak,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,805.0,Low
taman desa,3,2.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,850.0,Low
taman desa,3,2.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,850.0,Low
setapak,3,2.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,802.0,Low
setapak,3,2.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,850.0,Low
setapak,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,832.0,Low
taman desa,3,2.0,1.0,Condominium,Unfurnished,Corner,Built-up,850.0,Low
taman desa,3,2.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,850.0,Low
cheras,4,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,904.0,Low
cheras,3,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,903.0,Low
cheras,3,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,903.0,Low
cheras,3,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,904.0,Low
setapak,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,832.0,Low
setapak,3,2.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,845.0,Low
setapak,3,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,802.0,Low
setapak,3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,832.0,Low
setapak,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,850.0,Low
desa petaling,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,900.0,Low
setapak,3,2.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,850.0,Low
setapak,3,2.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,850.0,Low
pantai,2,1.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,581.0,Low
